Sanskrit|English|Hindi
रामचरितमानसस्य उत्तरभारते अत्यधिकं महत्त्वमस्ति।|The importance of the Ramacharitamanasa is great in North India.|उत्तर भारत में रामचरितमानस का अत्यधिक महत्त्व है।
युवावस्थां प्राप्य अध्ययनात् पराजयते।|Having reached youth, one turns away from study.|युवावस्था प्राप्त करके व्यक्ति अध्ययन से विमुख हो जाता है।
मनुष्यस्यासाफल्ये वस्तुतस्तस्यैव दोषो वर्तते।|In the failure of the man, in reality, the fault is his own only.|मनुष्य की असफलता में वस्तुतः उसका ही दोष होता है।
वयं भवता प्रेम्णा पुनर्दर्शनं यावत्स्मर्तव्याः।|We have to be remembered by you with love until seeing again.|हम आपके द्वारा प्रेमपूर्वक पुनः दर्शन तक स्मरण किए जाने चाहिए।
मन्त्राः गुरुदीक्षां विना न वक्तव्याः।|The Mantras are not to be spoken without the initiation of the Guru.|मंत्र गुरुदीक्षा के बिना नहीं बोलने चाहिए।
सप्ताश्वचित्रेण न परं घोटकवद्धावनेनैव प्रगतिः स्यात्।|Progress would not be by a picture of seven horses, but indeed by running like a horse.|सात घोड़ों के चित्र से नहीं, अपितु घोड़े के समान दौड़ने से ही प्रगति हो सकती है।
केवलमीश्वरस्यैव सान्निध्यं सुखकरम्।|Only the proximity of God alone is happiness-giving.|केवल ईश्वर का ही सान्निध्य सुखकर है।
त्वं न शोभसे अद्य।|You do not look beautiful today.|तुम आज शोभा नहीं दे रहे हो।
त्वं मृषावादी असि।|You are a speaker of untruth.|तुम झूठे हो।
अद्य मम शिरोवेदना जाता।|Today my head-pain has occurred.|आज मेरे सिर में पीड़ा हुई है।
अहं कदा त्वां पुनर्मेलिष्यामि।|When will I meet you again?|मैं तुमसे पुनः कब मिलूँगा।
कुक्कुराय भिन्ना धेनवे भिन्ना रोटिका पच।|Cook a separate roti for the dog, a separate one for the cow.|कुत्ते के लिए अलग, गाय के लिए अलग रोटी पकाओ।
असत्यशीलैः साकं सम्बन्धेन अस्मत्स्वपि कलिः प्रविशति।|By association with those of untrue nature, strife enters even in us.|झूठों के साथ संबंध से हममें भी कलह घुस आता है।
कृष्ण स्मरसि गोकुले वत्स्यामः।|Krishna! you remember we were living in Gokula.|कृष्ण, तुम्हें स्मरण है, हम गोकुल में रहते थे।
हरिः शेषे शेते।|Hari sleeps on Shesha.|हरि शेष पर सोते हैं।
भगवत्याः उपासनया भुक्तिमुक्त्योः प्राप्तिः भवति।|By the worship of the Bhagavati, the attainment of worldly enjoyment and liberation happens.|भगवती की उपासना से भोग और मोक्ष की प्राप्ति होती है।
नाहं तथा कर्तुमर्हः।|I am not worthy to do so.|मैं वैसा करने योग्य नहीं हूँ।
अद्य अधिकं भोजनं कृतम् अतः शये।|Today excessive eating was done, therefore I lie down.|आज अधिक भोजन किया, इसलिए लेटता हूँ।
ब्राह्मणाः प्राक्कालात् शिक्षणविभागसञ्चालकाः सन्ति।|The Brahmanas from ancient times are the directors of the education department.|ब्राह्मण पुराने समय से शिक्षा-विभाग के संचालक हैं।
केवलो निरग्निः सन्न्यासीति न कथ्यते।|Only one without fire is not called a Sannyasin.| केवल बिना आग वाला संन्यासी नहीं कहा जाता।
भवानवश्यमेव पूर्वजन्मनि बिडालः स्यात्।|You must certainly be a cat in the previous birth.| आप अवश्य ही पिछले जन्म में बिलाव रहे होंगे।
अद्य अहं जीर्णदुर्गं द्रष्टुं गमिष्यामि।|Today I will go to see the dilapidated fort.|आज मैं पुराना गढ़ देखने जाऊँगा।
हन्त परीक्षायाः परिणामः आगतः।|Oh, the result of the examination has come.|अहो, परीक्षा का फल आ गया है।
तद्दिवसे भवता महती मूर्खता कृता।|On that day, great foolishness was done by you.|उस दिन आपके द्वारा बड़ी मूर्खता की गई।
अन्येषां सहाय्याय स्वसर्वं न दग्धव्यम्।|For the help of others, one's own everything should not be burned.|औरों की सहायता के लिए अपना सब कुछ नहीं जलाना चाहिए।
वङ्गप्रदेशे पद्मोत्पत्तिः जाता।|In the Bengal region, the birth of the lotus happened.|बंगाल प्रदेश में कमल की उत्पत्ति हुई।
ह्यः मोदकाशनाय मन्दिरम् अगच्छम्।|Yesterday I went to the temple for eating the sweet-ball.|कल मैं लड्डू खाने के लिए मंदिर गया।
